Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,"Rwandan security forces deployed as part of the security team during the arrival of the Rwandan President Kagame’s visit in Pemba on 24 September.   During Kagame's visit, Rwandan security forces took direct control of Pemba airport, while Rwandan naval vessels conducted patrols in waters around Pemba during the visit.",24-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.988918, 40.524857",Cabo Delgado,Pemba,Military Operations,Security_Response,Deployment,Foreign_Military,Rwanda,Foreign_Government,Rwanda,,,,,,,,,,,,
,,,"A water pipeline ruptured destroying a house in the process in Matola, west of Maputo City, on the afternoon of 26 September. The pipeline reportedly has not been replaced for 60 years.. The pipeline burst has caused a lack of water services in the municipality.",26-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.927506, 32.466984",Maputo,Matola,Hazard,Hazard,Other Accident,Industry_Infrastructure,Water,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Local health officials confirmed a chickenpox outbreak in Pemba on 27 September. At least 6 cases have been reported in children in the city, after reports indicated a week before that there had been outbreaks of the disease in the city.  ",27-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.967998, 40.523099",Cabo Delgado,Pemba,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Rwandan refugees residing Mozambique started that Kigali has a list of 20 Rwandan exiles on a hit list, including some Rwandan refugees in Mozambique.  The Rwandan community in the country has called for an African Union investigation into Rwandan security force killings in Mozambique.",27-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.920537, 32.610472",Nationwide,Nationwide,Crime,Warning,Kinetic Threat,Foreign_Government,Rwanda,Foreign_Civilian,Expat / Tourist,,,,,,,,,,,,
,,,The Ministry of Health announced 10 new COVID infections and a single related death in Mozambique on 27 September. This comes as 44 daily recoveries were reported. ,27-09-2021,NA / Unknown,1,10,1,No,Reliable,National,"-25.969079, 32.585564",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The National Migration Service (SENAMI) announced that 135 illegal immigrants were repatriated and 56 allowed to legalize their residency on 27 September. This comes as SENAMI inspected 1,480 individuals for illegal immigration issues.",27-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.970804, 32.579216",Nationwide,Nationwide,Crime,Security_Response,Other Security Operation,National_Government,National Government,Criminal,Nonviolent Criminal,Human Trafficking,,,,,,,,,,,
,,,Mozambique health officials announced that the positivity rate of COVID testing has continued to decline to 3.5% as of 27 September. This comes as the lowest previous positivity rate was recorded on 08 June with 2.5%,27-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.969093, 32.585593",Nationwide,Nationwide,Hazard,Announcement,Announcement,National_Government,Government Employee,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Mozambican security forces on 23 September attacked insurgents near the village of Lindi after militants had attacked the village.  15 insurgents were ultimately captured in these clashes.  Some militants escaped after these clashes.,23-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-12.707337, 40.043177",Cabo Delgado,Lindi Village,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,Mozambican security forces on 23 September attacked insurgents near the village of Lindi after militants had attacked the village.  15 insurgents were ultimately captured in these clashes.  Some militants escaped after these clashes.,23-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-12.707337, 40.043177",Cabo Delgado,Lindi Village,Military Operations,Security_Response,Arrest,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,Insurgents reportedly abducted four civilians from two villages during an attack in Nangade District on 21 September.,21-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-11.130633, 39.792618",Cabo Delgado,Nangade ,Terrorism,Small_Arms_Fire,SAF Village Assault,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Insurgents reportedly abducted four civilians from two villages during an attack in Nangade District on 21 September.,21-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-11.130633, 39.792618",Cabo Delgado,Nangade ,Terrorism,Kidnapping,Kidnapping,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,, Sources stated that high traces of antimicrobial resistant bacteria have recently been found in poultry meat supply group in Maputo province. The resistant bacteria were due to the illegal usage of human antibiotics used in livestock. The bacteria causes diarrheal diseases and is commonly spread through uncooked chicken.,27-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-25.939904, 32.590886",Maputo,Maputo,Hazard,Warning,Disruptive Threat,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Rwandan security forces reportedly cannot cross Messalo River due to a current agreement with the Mozambican government. The foreign forces were to stay north of the river in Mocimboa da Praia.
",27-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-11.733614, 40.278020",Cabo Delgado,Messalo River,Military Operations,Announcement,Announcement,Foreign_Military,Rwanda,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,Three women were abducted during the attack by a group of 9 insurgents on the village of V Congresso in Nangade District at around 18:00 on the night of 23-24 September.,23-09-2021,1800-2359,0,0,1,No,Reliable,County / District,"-11.1760,39.9188",Cabo Delgado,V Congresso ,Terrorism,Kidnapping,Kidnapping,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Joint forces attacked insurgent positions in bush areas near Pundanhar in Palma District between 25-27 September.  These clashes reportedly took place south of Pundanhar, where large fires were reported.  According to generally reliable local media, in these clashes, a high-ranking insurgent leader was captured.  Reports later indicated 15 insurgents were killed, and 20 others captured, though reports that top insurgent leader Bonomade Omar or ""Ibn Omar"" proved to be untrue.",25-09-2021,NA / Unknown,15,0,1,No,Reliable,Neighborhood / Village,"-10.9634,40.0637",Cabo Delgado,Pundahar,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Joint Forces,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Joint forces attacked insurgent positions in bush areas near Pundanhar in Palma District between 25-27 September.  These clashes reportedly took place south of Pundanhar, where large fires were reported.  According to generally reliable local media, in these clashes, a high-ranking insurgent leader was captured.  Reports later indicated 15 insurgents were killed, and 20 others captured, though reports that top insurgent leader Bonomade Omar or ""Ibn Omar"" proved to be untrue.",26-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-10.9820,40.0671",Cabo Delgado,Pundahar,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Joint Forces,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Joint forces attacked insurgent positions in bush areas near Pundanhar in Palma District between 25-27 September.  These clashes reportedly took place south of Pundanhar, where large fires were reported.  According to generally reliable local media, in these clashes, a high-ranking insurgent leader was captured.  Reports later indicated 15 insurgents were killed, and 20 others captured, though reports that top insurgent leader Bonomade Omar or ""Ibn Omar"" proved to be untrue.",27-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-10.9746,40.0774",Cabo Delgado,Pundahar,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Joint Forces,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Joint forces attacked insurgent positions in bush areas near Pundanhar in Palma District between 25-27 September.  These clashes reportedly took place south of Pundanhar, where large fires were reported.  According to generally reliable local media, in these clashes, a high-ranking insurgent leader was captured.  Reports later indicated 15 insurgents were killed, and 20 others captured, though reports that top insurgent leader Bonomade Omar or ""Ibn Omar"" proved to be untrue.  Sources later reported that Omar's brother in law, Ali Buana Aiuba, had been captured in the area.",27-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-10.9725,40.0572",Cabo Delgado,Pundahar,Military Operations,Security_Response,Arrest,Security_Forces,Joint Forces,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"A new analysis by the Open Oil that estimates of Mozambique's future LNG earnings have likely been significantly overestimated.  The country by some projections stood to make $55 billion from LNG by 2048, however, the organization's estimates say LNG will likely only generate $18 billion, also saying these earnings will not allow the national oil company, ENH, to turn a profit.  The report indicated that if oil prices remain higher, the project could earn up to $28 billion, only half of previous estimates.  Much of this new projection is due to the fact that ENH is paying higher interest rates to O&G companies operating in Mozambique than initial projections assumed would be paid. The worldwide impact of a shift away from fossil fuels to combat climate change is also expected to eat into these profits in 2040, the year when the LNG projects had been projected to begin making their most significant profits.",27-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.821946, 40.518509",Cabo Delgado,Cabo Delgado,Hazard,Warning,Disruptive Threat,Industry_Infrastructure,Oil and Gas,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A document released by TotalEnergies on 28 September indicated that the company was now projecting LNG production in Mozambique in 2026 at the earliest.  The 2026 target would also only be possible if the company is able to restart work in Cabo Delgado in early 2022.  Company CEO Patrick Pouyanne said that there were ""some positive evolutions on the ground but they have to be consolidated"".  TotalEnergies before the suspension of its LNG project earlier this year due to the March 2021 insurgent attack on Palma had expected LNG production in the country to begin in 2024.",28-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.847903, 40.457018",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,Industry_Infrastructure,Oil and Gas,National_Government,National Government,,,,,,,,,,,,
,,,"The Ministry of Health announced 2 COVID deaths and 32 COVID cases in Mozambique on 28 September. This comes as 255 daily recoveries were announced. Nampula recorded the highest number of daily cases with 8, followed by Inhambane and Maputo City with 6 cases each.",28-09-2021,NA / Unknown,2,32,1,No,Reliable,National,"-25.969050, 32.585631",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A Mozambican official indicated that there was no extradition agreement with Rwanda on 28 September. The Ministry of Foreign Affairs and Cooperation (MINEC) has stated that the MOUs recently signed by Presidents Nyusi and Kagame only were related to  agriculture, defense, and security, and related to for commercial and investment opportunities.  It has been widely speculated since May that Maputo secretly agreed with Kigali to allow the Rwandan government to target Rwandan citizens living in Mozambique.",28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.978948, 32.576374",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Foreign_Government,Rwanda,,,,,,,,,,,,
,,,"The Mozambican military showcased  newly obtained military hardware in Pemba on 25 September. A new Mi-8/17 transport helicopter, a Gazelle light helicopter, and four Marauder Armored Personnel Carrier (APC) took part in a military parade and military displays during a joint visit by President Nyusi and President Kagame of Rwanda to the Cabo Delgado capital.",25-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.963060, 40.511593",Cabo Delgado,Pemba,Military Operations,Announcement,Announcement,Security_Forces,Mozambican Military *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,, The China DH Mining Company announced that they intend to restart graphite mining in Nipepe District by 2022. The mining company was set to explore a reserve expected to contain up to 5 million tons of graphite.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-14.032388, 37.856419",Niassa,Nipepe,Announcement,Announcement,Announcement,Industry_Infrastructure,Mining,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,The National Institute of Statistics (INE) announced that the unemployment rate in Mozambique is estimated to be at 17.5% in 2019-2020. Unemployment rates were highest in Maputo Province with a 31.6% unemployment rate and Maputo City with a rate of 37.1%. Zambezia province had the lowest countrywide unemployment rate at 10.7%.  The study noted that due to many peoples' informal jobs the actual unemployment rate was difficult to measure.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.949213, 32.562302",Nationwide,Nationwide,Hazard,Warning,Disruptive Threat,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,An Somali national assaulted a civilian after refusing sexual favors in Muthita area of Nampula City on 28 September. ,25-09-2021,NA / Unknown,0,1,1,No,Reliable,Neighborhood / Village,"-15.117823, 39.263084",Nampula,Nampula,Crime,Physical_Altercation,Other Assault,Criminal,Violent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The National Institute of Statistics (INE) stated that the richest 10% of Mozambicans account for 43% of the spending expenditure in Mozambique. The Household Budget Survey indicated that average monthly expenses in Maputo province and Maputo City were twice the national average. Each Household is expected to spend 8,108 meticais per month.",28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.962084, 32.579589",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The former Secret Service Director Gregorio Leao testified implicating President Nyusi in Hidden Debts on 28 September. Leao stated that Nyusi coordinated the meetings regarding the Exclusive Economic Zone, a group which has been implicated in the Hidden Debts Scandal.  ",28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.950503, 32.590208",Nationwide,Nationwide,Crime,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"President Nyusi stated in a 25 September speech in Pemba that the insurgent attacks are not due to social inequalities in Cabo Delgado. The president stated that the province was not the poorest and that the country has not neglected the province.  Nyusi also said that terrorism in Cabo Delgado had a ""global"" connection.",24-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.964736, 40.513350",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,National_Government,Government Employee,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Government sources indicated that as of 10 August, there were 34,484 IDP families in Metuge, 15,1556 IDP families in Ancuabe, 11,091 in Montepuez, 11,522 in Chiure, 6,463 in Ibo, 3,506 in Balama, 3,133 in Macomia, 2,349 in Meluco, and 928 in Namuno.  These IDP numbers did not include IDPs in Pemba, Mueda, Nangade, or several insurgent impacted districts including Palma.",10-08-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.235065, 40.140138",Cabo Delgado,Cabo Delgado,Hazard,Warning,Disruptive Threat,Local_Civilian,IDPs,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Insurgents in an attack on Litingina on 24 September were reported to have set several houses on fire.  Unconfirmed sources reported insurgents also beheaded people in the area, and clashed with security forces, but these reports remain unverified.",24-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.229013, 39.632651",Cabo Delgado,Litingina,Terrorism,Sabotage,Arson ,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Sources stated that insurgents were spotted crossing the Namua-Nangade road on 25 September. This comes a day after the insurgents attacked Litingina village.,25-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-11.047120, 39.671907",Cabo Delgado,Namua-Nangade road ,Terrorism,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Joint forces aircraft reportedly conducted at least one airstrike targeting insurgents near Chitama area on 25 September. This came as SAMIM forces reported killing 17 militants in the area during these clashes.,25-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-11.1222,39.9692",Cabo Delgado,Chitama,Military Operations,Airstrike,Airstrike,Foreign_Military,SADC,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"Insurgents attacked the village of Janguane, southwest of Nangade on 26 September. Locals stated the roads near the village were empty as civilians avoided travel.  No information regarding casualties was available.",26-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-11.092469, 39.618140",Cabo Delgado,Janguane,Terrorism,Small_Arms_Fire,SAF Village Assault,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,SADC troops reportedly detained two women and physically assaulted them near Litingina village on 22 September. The women were found with two weapons and were suspected to be insurgents during the time of the arrest.,22-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.238160, 39.632254",Cabo Delgado,Litingina,Military Operations,Physical_Altercation,Other Assault,Foreign_Military,SADC,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,SADC troops reportedly detained two women and physically assaulted them near Litingina village on 22 September. The women were found with two weapons and were suspected to be insurgents during the time of the arrest.,22-09-2021,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-11.238160, 39.632254",Cabo Delgado,Litingina,Terrorism,Security_Response,Arrest,Foreign_Military,SADC,Terrorist,Cabo Delgado Insurgents,Terrorism,,,,,,,,,,,
,,,Around 9 insurgents assaulted three women in Nazimodja village of Nangade District on 25 September.,25-09-2021,NA / Unknown,0,1,1,No,Reliable,County / District,"-11.141922, 39.632929",Cabo Delgado,Nazimodja,Terrorism,Physical_Altercation,Other Assault,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Mozambican government has requested UN member states support the candidacy of Mozambique for a non-permanent seat at the UN Security Council for 2023 to 2024.  Mozambique previously said it had received support from the SADC, the AU, Portugal, and other Lusophone countries.",27-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.960688, 32.584748",Nationwide,Nationwide,Announcement,Announcement,Announcement,National_Government,National Government,Foreign_Government,UN,,,,,,,,,,,,
,,,"The Ministry of Industry and Trade announced that terrorism has caused losses of 42 billion meticais in Cabo Delgado to businesses in the province. The Minister Carlos Mesquita stated that 4,965 micro, small and medium-sized companies have been ""destroyed"" by the insurgency.",28-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-11.365818, 40.324242",Cabo Delgado,Cabo Delgado,Hazard,Warning,Disruptive Threat,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"A Human Rights Watch Report released on 29 September indicated that insurgents in Cabo Delgado are kidnapping young boys in the province and training them to fight for the group.  Militants have abducted hundreds of boys over the years, including large numbers in Palma in the March-April 2021 attack.  The report said insurgents force kidnapped boys to receive ""Islamic classes and instructions for attacking villages"".",29-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-11.111114, 40.242540",Cabo Delgado,Cabo Delgado,Terrorism,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,TotalEnergies donated two mobile clinics for the local health services in Cabo Delgado province on 29 September. The clinics were to allow primary health care and teachings to be conducted for remote areas.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.964871, 40.511790",Cabo Delgado,Cabo Delgado,Hazard,Announcement,Announcement,Industry_Infrastructure,Oil and Gas,National_Government,Local Gov,,,,,,,,,,,,
,,,Suspected RENAMO dissidents robbed a local market in Nhamassindzira village before the Muanza attack on 09 September. ,09-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-18.838017, 34.825368",Sofala,Nhamassindzira,Terrorism,Theft,Shop Robbery,Terrorist,RENAMO dissidents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Police withdrew from the Chinapamimba area as of 29 September. This comes as police responded to the attack on a commercial establishment in the area.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-19.125700, 35.084000",Sofala,Chenapamimba,Military Operations,Announcement,Announcement,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,"A group of suspected RENAMO dissidents abducted 7 people during the attack in Chinapamimba on 9 September, sources later reported.  Note other reports questioned the links between the dissidents and this group.",09-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-19.125700, 35.084000",Sofala,Chenapamimba,Terrorism,Kidnapping,Kidnapping,Terrorist,RENAMO dissidents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,The International Monetary Fund (IMF) rejected the request of Mozambique that its debt contracted under issuance of bonds for countries with military conflict does not count. The IMF clarified that conflict debt still counts towards debt ratios.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.975952, 32.593248",Nationwide,Nationwide,Announcement,Announcement,Announcement,Humanitarian_NGO ,NGO Policy,National_Government,National Government,,,,,,,,,,,,
,,,Sources stated that the Mozambican parliament's next session was scheduled to begin on 20 October. The meeting was to discuss 42 issues and the annual briefing coming from the head of state.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.958996, 32.561587",Maputo City,Maputo City,Announcement,Announcement,Announcement,National_Government,Government Employee,National_Government,Government Employee,,,,,,,,,,,,
,,,Police stated that nine civilians died and nine were injured during the recent road traffic accidents in Inhambane on 29 September. Police stated that the accidents are usually caused by over speeding and drunk driving. ,29-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-23.892873, 35.392890",Inhambane,Inhambane,Hazard,Announcement,Announcement,Security_Forces,Mozambican Police *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,A vehicle accident occurred in Vilankulos area on 26 September. Four Malawi civilians were killed.,26-09-2021,NA / Unknown,4,0,1,No,Reliable,City / Town,"-21.989506, 35.314807",Inhambane,Vilankulos,Hazard,Hazard,Major RTA,Other,Accident,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,A vehicle was submerged after being caught in the high tide at Gadzene beach in Marracuene district on 26 September.,26-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-25.726813, 32.750041",Maputo,Marracuene,Hazard,Hazard,Other Accident,Other,Accident,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,The Portuguese Consulate in Maputo has increased security measures as of 27 September. The consulate stated that a metal detector was installed and mobile phones were required to be left at the entrance of the consulate.  The security measures were added after a Portuguese national was kidnapped outside of the consulate in April.,27-09-2021,NA / Unknown,0,0,1,No,Reliable,Landmark / Coordinates,"-25.965476, 32.592727",Maputo City,"Consulate of Portugal, Maputo City",Crime,Security_Response,Other Security Operation,Foreign_Government,Portugal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"United Airlines announced that the airline had partnered with local carrier Airlink to add flights to more than 40 African locations, including to Mozambique.  Some of these flights will commence before the end of 2021.",29-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.923960, 32.574367",Nationwide,Nationwide,Announcement,Announcement,Announcement,Industry_Infrastructure,National Entry Point,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,The Ministry of Finance stated there has been a yearly average recession of 3.4% in Cabo Delgado since 2017 due to insurgent attacks. The province saw a 6% growth rate from 2011 until the insurgent attacks began in 2017.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.971514, 40.515884",Cabo Delgado,Cabo Delgado,Hazard,Warning,Disruptive Threat,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Minister of Culture and Tourism Materula stated that tourism has declined by 51.5% during 2021 compared to the same period in 2020. Materula said that the decline was brought about by the pandemic. 31% or 6,708 tourism establishments have closed down in the country, leaving 69,178 workers in the sector unemployed.",29-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.975567, 32.591659",Nationwide,Nationwide,Hazard,Warning,Disruptive Threat,Other,Other,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Security forces continued clearing operations in Mocimboa da Praia town as of 29 September. ,29-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-11.349618, 40.355852",Cabo Delgado,Mocimboa da Praia,Military Operations,Security_Response,Clearing Operation,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,A group of 73 people were rescued by security forces from the bush areas of Mocimboa da Praia on or before 27 September.  This group had reportedly lived in the bush for many months during the insurgent occupation of the area.  ,27-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-11.353106, 40.312902",Cabo Delgado,Mocimboa da Praia,Military Operations,Security_Response,Other Security Operation,Security_Forces,Mozambican Military *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Security forces in MDP town have reportedly detained 28 local youths suspected to be involved with the insurgents.  It was unclear exactly when these arrests took place though local media reported this on 29 September.  It was also unclear if these individuals were arrested in MDP itself, though they were reportedly being held in MDP.",29-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-11.349618, 40.355852",Cabo Delgado,Mocimboa da Praia,Military Operations,Security_Response,Arrest,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,Terrorism,,,,,,,,,,,
,,,"UNICEF stated that they required over $70 million to provide aid to children and caregivers in Mozambique on 27 September. UNICEF announced that they have received 25 million USD donations to provide aid and relief, though this is a significant shortfall in what the organization is appealing for.  ",27-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-12.974339, 40.515568",Nationwide,Nationwide,Hazard,Warning,Disruptive Threat,Humanitarian_NGO ,NGO Policy,Local_Civilian,IDPs,,,,,,,,,,,,
,,,"Officials stated that around 20,000 national ID cards would be issued for displaced people in Cabo Delgado by end of year. The initiative was conducted by the  Catholic University of Mozambique and the UNHCR.",29-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.978023, 40.532856",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,IDPs,,,,,,,,,,,,
,,,"The Mozambican government announced on 28 September that they have considered closing beaches again after reopening them only four days before. The beaches included with Wimbe in Pemba, Tofo in Inhambane, Zalala beach in Quelimane, and Bilene in Gaza. This comes as locals gathered in large numbers on recently reopened beaches over the weekend, raising the risk of the spread of COVID.",28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-12.971722, 40.542458",Nationwide,Nationwide,Hazard,Warning,Disruptive Threat,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Large fires were reported just south of Kitaya in Cabo Delgado on 28 September near Nhica do Rovuma.  This fire was suspicious and could indicate a clash between security forces and insurgents or an insurgent attack.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-10.7352,40.2064",Cabo Delgado,"South of Kitaya, Nhica do Rovuma area",Hazard,Hazard,Fire,Other,Other,Unknown_NA,Unknown / NA,,,,,,,,,,,,
,,,"The brother of former MDM leader, Lutero Simango, announced that he would be running for presidency of the MDM party. Simango stated that election for the MDM leaders would take place on December. ",29-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.958965, 32.561510",Nationwide,Nationwide,Announcement,Announcement,Announcement,Political_Party,MDM*,Political_Party,MDM*,,,,,,,,,,,,
,,,The Minister of Finance stated on 28 September that the government hopes TotalEnergies can restart works in Cabo Delgado before a one year prediction for the restart of operations made by the company after April 2021 declaration of force majeure on the project. The restoration of security in the Palma area has led to speculation that TotalEnergies could restart the project sometime in early 2022.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-10.826322, 40.523270",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,National_Government,Government Employee,Industry_Infrastructure,Oil and Gas,,,,,,,,,,,,
,,,The National Inspectorate of Economic Activities (INAE) announced that 65 commercial establishments were closed down for violating COVID precautions between 13-27 September countywide.,27-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.967595, 32.575965",Nationwide,Nationwide,Crime,Security_Response,Other Security Operation,National_Government,National Government,Criminal,Nonviolent Criminal,Other / Unknown,,,,,,,,,,,
