Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,"Mozambican customs officials were reported on 11 August to have seized 34,000 cell phones and 3,000 units of perfume that had been smuggled into the country.  The seizure occurred in central Beira, just after the trucks the smuggled goods left Beira port. ",11-08-2020,0600-1159,0,0,1,No,Reliable,City / Town,"-19.8291,34.8509",Sofala,Central Beira,Crime,Smuggling,Smuggling: Other,Security_Forces,Mozambican Police *,Criminal,Criminal Gang,,,,,,,,,,,,
,,,A young man was arrested in Nkobe District of Matola after he assaulted his mother during a domestic dispute.  The man has a past criminal history.,10-08-2020,NA / Unknown,0,1,1,No,Reliable,Neighborhood / Village,"-25.8342,32.4929",Maputo,"Nkobe District, Matola, Maputo",Crime,Physical_Altercation,Other Assault,Criminal,Violent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,A young man was arrested in Nkobe District of Matola after he assaulted his mother during a domestic dispute.  The man has a past criminal history.,10-08-2020,NA / Unknown,0,0,1,No,Reliable,Neighborhood / Village,"-25.8311,32.4809",Maputo,"Nkobe District, Matola, Maputo",Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Criminal,Violent Criminal,Murder / Assault,,,,,,,,,,,
,,,"Local businessman Artur Magaia was kidnapped on 13 August from the Belo Horizonte area of Boane in Maputo Province.  Magaia was abducted while arriving back at his home by unidentified assailants.  The kidnappers followed Magaia to his home in one vehicle, while another vehicle waited for him at his home.  Security guards present at the scene reportedly did not attempt to stop the abduction.  The greater Maputo area has witnessed several high profile kidnappings so far in 2020.   Magaia is the owner of the Magaia Resort Bilene in Gaza province; his ID and other documents were found abandoned at the scene of the kidnapping.",13-08-2020,1800-2359,0,0,1,No,Reliable,Neighborhood / Village,"-26.015464, 32.394154",Maputo,"Belo Horizonte, Boane town",Crime,Kidnapping,Kidnapping,Criminal,Criminal Gang,Local_Civilian,Local Businessman,,,,,,,,,,,,
,,,"Mozambican officials said on 13 August that Tanzanian authorities had arrested a group of suspected insurgents attempting to cross the Rovuma River into Cabo Delgado and who were destined for Mocimboa da Praia.  Officials also said that Maputo and Dodoma would improve coordination if fighting the ongoing Cabo Delgado insurgency.  This announcement comes after Tanzania said earlier this week that it would launch operations targeting ""criminals"" along the border.",13-08-2020,NA / Unknown,0,0,1,Yes,Reliable,County / District,"-10.5801,40.2827",Cabo Delgado,Tanzania-Cabo Delgado Border,Terrorism,Security_Response,Arrest,Foreign_Military,Tanzania,Terrorist,Cabo Delgado Insurgents,Terrorism,,,,,,,,,,,
,,,"Mozambique's Ministers of the Interior and Defense on 13 August announced that insurgents were not in control of Mocimboa da Praia or any other part of the country, but aknowledged members of the group were ""present in parts of the town"" and had carried out attacks, looting, and had destroyed part of the town.  The officials said insurgents in heavy fighting had sustained significant casaulties as well.  The ministers also said that insurgents are ""no longer easy to identify"" and camouflage themselves as civilians.  Neto went on to say that the insurgents had first infiltrated the town and attacked it ""from the inside out"" and had sabotaged attempts by security forces to launch martime rescues from the port.  The ministers also said that the situation remains tense in the town, and confirmed militants had fired on boats present at the port.  Jaime Neto, Minister of Defense said measures were being taken to assure the insurgency does not spread to ""other regions"", and said that Mozambique would not declare a ""state of siege"" in Cabo Delgado and did not need help from international partners to combat the insurgency.  ",13-08-2020,NA / Unknown,0,0,1,Yes,Reliable,Provincial,"-11.3545,40.3382",Cabo Delgado,Mocimboa da Praia,Announcement,Announcement,Announcement,National_Government,National Government,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,"79 new COVID cases were reported in Mozambique on 13 August, along with 2 new deaths.  There have now been a total of 2638 cases in the country, along with 19 deaths.  933 cases have been diagnosed in Maputo City and Maputo Province, or about 35% of the total number of cases in the country.",13-08-2020,NA / Unknown,2,79,1,No,Reliable,National,"-25.9136,32.5127",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Clashes are reportedly ongoing in the Mocimboa da Praia town area, where government officials claim their forces are attempting to regain the town.  Multiple sources indicated that insurgents after several days of fighting took control of MDP on 11 August, though on 13 August government officials denied that insurgents were in full control of MDP though aknowledged militants were present in the town.  No further details on these ongoing clashes is currently available. ",13-08-2020,NA / Unknown,0,0,1,Yes,Questionable,Provincial,"-11.3577,40.3499",Cabo Delgado,Mocimboa da Praia,Military Operations,Small_Arms_Fire,Gun Battle,Security_Forces,Mozambican Military *,Terrorist,Cabo Delgado Insurgents,,,,,,,,,,,,
,,,A new outbreak of foot and mouth disease among hooved animals in Maputo province was reported on 12 August in Magude District.  Officials have banned any movement of hooved animals in and out of Maputo province for the foreseeable future.  The transportation of animals has not been banned but will require certificates showing veterinary inspections on animals have been carried out. ,12-08-2020,NA / Unknown,0,0,1,No,Reliable,County / District,"-25.0096,32.6364",Maputo,Magude District,Hazard,Hazard,Disease Outbreak,Other,Disease,Other,Other,,,,,,,,,,,,
,,,"Insurgents armed with machetes and firearms at around 8pm on 09 August attacked Nambo village in the Mucojo AP post of Macomia District, beheading one person and shot another dead.  Four people were also abducted during the attack.  This village has been attacked multiple times by insurgents and lies in an area where insurgents maintain bush camps. ",09-08-2020,1800-2359,2,0,1,No,Reliable,Neighborhood / Village,"-12.0509,40.4794",Cabo Delgado,"Nambo village, Mucojo AP, Macomia",Terrorism,Small_Arms_Fire,SAF Village Assault,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
